City_ID,City,Country,Max Temp,Current Discription,Lat,Lng,Hotel Name
260,Victoria,HK,87.33,overcast clouds,22.2855,114.1577,Mini Hotel Central
265,San Patricio,US,87.89,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
267,Yumen,CN,80.47,clear sky,40.2833,97.2,
268,Charleston,US,86.09,clear sky,32.7766,-79.9309,The Mills House Wyndham Grand Hotel
269,Takoradi,GH,81.39,overcast clouds,4.8845,-1.7554,Raybow International Hotel
283,Kathu,TH,82.22,broken clouds,7.9178,98.3332,Novotel Phuket Resort
285,Biltine,TD,88.79,broken clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
290,Katsuura,JP,82.51,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
293,Calera,US,81.41,clear sky,33.1029,-86.7536,Quality Inn Calera I-65 Exit 231
297,Santa Rosa,PH,84.11,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
303,Olinda,BR,82.13,few clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
307,Tsabong,BW,83.48,clear sky,-26.0217,22.401,Springbok Motel
310,Hamilton,US,81.99,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
311,Wilmington,US,82.94,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
323,Miracema Do Tocantins,BR,87.6,clear sky,-9.5618,-48.3967,Miami Apart Hotel
330,Anloga,GH,82.62,light rain,5.7947,0.8973,Pin Drop Hotel
331,San Javier,ES,89.64,scattered clouds,37.8063,-0.8374,Hotel Mar Menor
341,Tagusao,PH,80.74,overcast clouds,9.1924,117.8141,Toledo
344,League City,US,89.24,few clouds,29.5075,-95.0949,Hampton Inn & Suites Houston/League City
345,Shimoda,JP,80.82,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
361,Guiratinga,BR,84.31,clear sky,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
362,Tirumullaivasal,IN,86.09,overcast clouds,11.2333,79.8333,My own house
364,Aksu,CN,83.97,scattered clouds,41.1231,80.2644,Pudong Holiday Hotel
370,Jamame,SO,80.15,overcast clouds,0.0722,42.7506,
378,Yarada,IN,86.32,broken clouds,17.65,83.2667,Jeevan
399,Basco,PH,83.91,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
406,Grand-Santi,GF,85.87,scattered clouds,4.25,-54.3833,Hotel La Villa Couacou
410,Gizo,SB,80.22,light rain,-8.103,156.8419,Imagination Island
412,Arrecife,ES,80.58,scattered clouds,28.963,-13.5477,Hotel Lancelot
418,Abiramam,IN,85.32,overcast clouds,9.4667,78.45,Shamsudeen Arafath home
425,Streletskoye,RU,86.81,clear sky,50.6371,36.4729,Red House
426,Zaraza,VE,80.31,broken clouds,9.3503,-65.3245,Hotel Zaraza
427,Coxim,BR,89.26,clear sky,-18.5067,-54.76,Hotel Avenida
434,Pak Phanang,TH,83.77,scattered clouds,8.3511,100.202,Green Park Inn Hotel
440,Panacan,PH,82.42,overcast clouds,9.2463,118.4082,Mom's Place Resort
441,Astaneh-Ye Ashrafiyeh,IR,89.53,clear sky,37.2596,49.9444,Hotel Farrghi
443,Timizart,DZ,89.58,overcast clouds,36.8,4.2667,yefssah restaurant
444,Urumqi,CN,83.35,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
445,Pandan,PH,81.55,overcast clouds,14.0453,124.1694,Bonifacio Lodge
448,Nieuw Amsterdam,SR,80.76,few clouds,5.8833,-55.0833,Globe Hotel
451,Goure,NE,88.02,overcast clouds,13.9835,10.2704,
457,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
461,Solwezi,ZM,81.18,clear sky,-12.1688,26.3894,Country Lodge Solwezi
467,Mayo,US,80.37,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
468,Mattru,SL,83.17,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
473,Brufut,GM,86.09,thunderstorm,13.3814,-16.7518,Sheraton Gambia Hotel Resort & Spa
478,Tuburan,PH,82.71,overcast clouds,6.6439,122.2736,GT Site
487,Lingao,CN,84.58,light rain,19.9103,109.6859,Lingao Ditai Inn
488,Dakar,SN,88.68,scattered clouds,14.6937,-17.4441,Redface Studios Meublés
490,Key West,US,89.6,few clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
496,Goundi,TD,80.37,overcast clouds,9.3627,17.366,
497,Sidi Ali,DZ,80.74,clear sky,36.0998,0.4206,الغابة الترفيهية بورحمة
515,Oranjestad,AW,84.15,broken clouds,12.524,-70.027,Divi Village Golf & Beach Resort
520,Palauig,PH,80.91,moderate rain,15.435,119.9045,Gilbert Resuello
521,Changji,CN,86.79,clear sky,44.0167,87.3167,Lvye Holiday Resort
523,Bose,IT,84.51,clear sky,45.4612,8.0137,Locanda Borgo Antico
526,Danshui,CN,87.03,overcast clouds,22.7984,114.4672,Grand Skylight International Hotel Huizhou
527,Maceio,BR,80.04,broken clouds,-9.6658,-35.7353,Poutur Pousada
528,Diveyevo,RU,86.79,overcast clouds,55.0433,43.2418,Diveyevskaya Sloboda
532,Kilimatinde,TZ,84.72,few clouds,-5.85,34.95,
533,Hatillo,PR,89.1,clear sky,18.4863,-66.8254,Hotel Parador El Buen Cafe
534,Corrente,BR,88.97,clear sky,-3.7367,-43.3394,Chapadinhense Hotel
540,Harper,LR,81.09,light rain,4.375,-7.7169,Screensaver
541,Mogadishu,SO,80.47,scattered clouds,2.0371,45.3438,Hotel Juba
546,Labuan,MY,82.56,few clouds,5.2767,115.2417,Tiara Labuan Hotel
551,Sunrise Manor,US,89.31,smoke,36.2111,-115.0731,Comfort Inn & Suites Las Vegas - Nellis
552,Chandil,IN,83.52,overcast clouds,22.9667,86.05,Lambu Hotel
556,Boa Vista,BR,80.58,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
558,Jaciara,BR,87.49,clear sky,-15.9653,-54.9683,Taba Hotel
559,Carupano,VE,84.06,broken clouds,10.6678,-63.2585,Hotel La dorada
562,Tabou,CI,80.19,light rain,4.423,-7.3528,hotêl doufoulougou
565,Trincomalee,LK,83.26,overcast clouds,8.5711,81.2335,Welcombe Hotel
568,Shentala,RU,83.8,few clouds,54.45,51.4833,
569,La Romana,DO,84.56,few clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
571,Pafos,CY,89.51,few clouds,34.7667,32.4167,Elysium Hotel
574,Madras,IN,87.78,few clouds,13.0878,80.2785,City home
575,Batticaloa,LK,81.59,overcast clouds,7.7102,81.6924,Grand Star Guest House
584,Yiyang,CN,82.08,light rain,28.5892,112.3283,Tongcheng International Hotel
585,Dwarka,IN,82.65,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
589,Bogalusa,US,87.69,clear sky,30.791,-89.8487,Traveler's Rest Motel
590,Mana,GF,83.97,few clouds,5.6592,-53.7767,LE SAMANA
595,Iralaya,HN,86.09,overcast clouds,15.0,-83.2333,Iglesia morava renovada
599,Porbandar,IN,82.67,broken clouds,21.6422,69.6093,Lords Inn Porbandar
601,Acapulco,MX,80.42,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
606,Penarroya-Pueblonuevo,ES,87.46,clear sky,38.3,-5.2667,Casa Rural Los Miraderos De Cristina
607,Conde,BR,81.86,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
609,Karaton,ID,80.76,scattered clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
616,Paka,MY,80.53,broken clouds,4.6374,103.4368,RUMBIA RESORT VILLA
617,Kasangulu,CD,86.94,clear sky,-4.5911,15.1708,Hôtel le Relais
618,Champerico,GT,85.77,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
621,Lugoba,TZ,81.03,overcast clouds,-6.45,38.3333,
622,Diapaga,BF,89.65,overcast clouds,12.0708,1.7889,
623,Itarema,BR,88.23,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
624,Ocos,GT,85.73,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
625,Placido De Castro,BR,89.94,few clouds,-10.3353,-67.1856,Hotel Carioca
628,Labuhan,ID,80.08,clear sky,-6.8844,112.2051,PT PPI Lamongan Tambak C
629,Mahajanga,MG,80.62,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
631,Olot,ES,82.38,scattered clouds,42.181,2.4901,Hotel Riu Fluvià
632,Coahuayana,MX,81.88,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
635,Arenapolis,BR,89.8,clear sky,-14.4503,-56.8461,Mato Grosso Hotel
639,Tucuma,BR,87.4,clear sky,-0.1833,-50.05,
641,Mayna,RU,87.15,scattered clouds,54.1135,47.6231,Gostinnitsa
643,Livenka,RU,84.07,light rain,50.4491,38.2959,
644,Manuk Mangkaw,PH,83.26,overcast clouds,4.8,119.85,
645,Baillif,GP,85.5,scattered clouds,16.0202,-61.7463,Hôtel Saint-Georges
647,Wattegama,LK,81.52,broken clouds,6.7989,81.4808,
651,Stephenville,US,81.18,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
656,Hambantota,LK,82.74,scattered clouds,6.1241,81.1185,Bungalow 63
658,Acarau,BR,88.05,clear sky,-2.8856,-40.12,castelo pizzaria
659,Struga,MK,86.02,clear sky,41.1781,20.6761,Hotel Drim
660,Porto Novo,BJ,82.22,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
662,Jinji,CN,82.4,overcast clouds,23.2281,110.8261,
666,Bantou,CN,82.62,overcast clouds,26.2151,117.4893,
674,Russell,US,82.06,clear sky,32.3502,-85.1999,Macs
676,Lagunas,PE,83.97,clear sky,-5.2269,-75.6753,Hospedaje Eco
677,Nioro,GM,87.33,broken clouds,13.35,-15.75,
679,Mangrol,IN,81.84,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
680,Tari,NG,88.34,overcast clouds,12.4086,4.4914,
682,Jobat,IN,81.28,overcast clouds,22.4167,74.5667,Sandeep john's house
