City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Discription
208,Atuona,PF,-9.8,-139.0333,77.04,80,82,14.36,moderate rain
209,Atherton,GB,53.5237,-2.4935,65.16,86,100,5.01,overcast clouds
210,Mahebourg,MU,-20.4081,57.7,70.25,100,75,5.75,shower rain
211,Lagoa,PT,39.05,-27.9833,71.44,78,95,15.99,overcast clouds
212,Saskylakh,RU,71.9167,114.0833,61.23,61,91,11.01,overcast clouds
213,Tomatlan,MX,19.9333,-105.25,75.78,92,96,3.76,overcast clouds
214,Felanitx,ES,39.4696,3.1483,86.95,52,4,14.92,clear sky
215,Bengkulu,ID,-3.8004,102.2655,77.97,89,100,3.76,light rain
216,Sunyani,GH,7.3399,-2.3268,82.2,64,94,6.26,light rain
217,Toamasina,MG,-18.1667,49.3833,73.4,78,40,5.75,scattered clouds
218,Bilma,NE,18.6853,12.9164,103.08,21,93,7.49,overcast clouds
219,Baruun-Urt,MN,46.6806,113.2792,57.9,91,77,7.72,broken clouds
220,Raudeberg,NO,61.9875,5.1352,71.38,75,100,8.63,overcast clouds
221,Dalianwan,CN,39.0286,121.695,75.24,94,80,6.71,light rain
222,College,US,64.8569,-147.8028,56.59,92,75,0.0,broken clouds
223,Yertarskiy,RU,56.7902,64.2995,62.1,91,98,3.31,overcast clouds
224,Moerai,PF,-22.4333,-151.3333,73.24,72,3,8.39,clear sky
225,Saquarema,BR,-22.92,-42.5103,73.54,57,55,10.49,broken clouds
226,Aquin,HT,18.2833,-73.4,83.75,69,38,3.38,scattered clouds
227,Qasigiannguit,GL,68.8193,-51.1922,44.85,94,100,13.91,light rain
228,Tasiilaq,GL,65.6145,-37.6368,46.56,96,100,18.1,moderate rain
229,Carnarvon,AU,-24.8667,113.6333,68.07,81,90,3.44,overcast clouds
230,Clarence Town,AU,-32.5833,151.7833,59.86,84,100,1.81,overcast clouds
231,Sobolevo,RU,54.4299,31.8996,76.14,46,100,4.12,overcast clouds
232,Yerbogachen,RU,61.2767,108.0108,54.79,53,0,0.92,clear sky
233,Oni,GE,42.5794,43.4425,78.78,66,86,5.3,overcast clouds
234,Loiza,PR,18.4313,-65.8802,87.78,73,40,16.11,scattered clouds
235,Coquimbo,CL,-29.9533,-71.3436,55.13,82,75,6.91,broken clouds
236,Meulaboh,ID,4.1363,96.1285,80.83,83,100,7.34,heavy intensity rain
237,Komsomolskiy,UZ,40.4272,71.7189,93.92,22,0,6.91,clear sky
238,Ciudad Bolivar,VE,8.1222,-63.5497,83.98,66,99,6.62,overcast clouds
239,Waipawa,NZ,-41.4122,175.5153,42.03,74,100,28.5,moderate rain
240,Zahesi,GE,41.8246,44.7536,91.11,27,100,2.91,overcast clouds
241,Brainerd,US,46.358,-94.2008,66.45,88,90,5.75,overcast clouds
242,Stawell,AU,-37.05,142.7667,48.22,65,88,4.29,overcast clouds
243,Adeje,ES,28.1227,-16.726,75.69,72,75,4.0,broken clouds
244,Darhan,MN,49.4867,105.9228,57.94,80,0,2.51,clear sky
245,Dawei,MM,14.0833,98.2,78.82,91,64,0.78,broken clouds
246,Palmas,BR,-10.2128,-48.3603,84.07,39,0,16.11,clear sky
247,Atar,MR,20.5169,-13.0499,98.37,26,8,10.69,clear sky
248,Port Lincoln,AU,-34.7333,135.8667,54.18,75,22,10.13,few clouds
249,Karratha,AU,-20.7377,116.8463,70.3,67,1,5.82,light rain
250,Yebaishou,CN,41.3975,119.6408,71.19,77,100,2.71,overcast clouds
251,Tilichiki,RU,60.4667,166.1,44.29,79,100,6.62,overcast clouds
252,The Valley,AI,18.217,-63.0578,86.14,74,40,17.27,scattered clouds
253,Reconquista,AR,-29.15,-59.65,76.89,39,57,14.88,broken clouds
254,Muyezerskiy,RU,63.9333,31.65,54.41,96,100,9.66,overcast clouds
255,Saint Anthony,US,45.0205,-93.218,73.33,93,20,4.61,mist
256,Nakamura,JP,32.9833,132.9333,79.56,97,100,18.95,moderate rain
257,Chuy,UY,-33.6971,-53.4616,68.29,72,100,2.06,overcast clouds
258,Katangli,RU,51.7102,143.2326,51.67,92,100,8.23,overcast clouds
259,Ingham,US,42.6,-84.3833,76.95,86,1,4.61,clear sky
260,Victoria,HK,22.2855,114.1577,87.33,88,100,1.01,overcast clouds
261,Galle,LK,6.0367,80.217,78.22,88,99,10.98,light rain
262,Llanes,ES,43.4198,-4.7549,68.02,71,40,5.61,scattered clouds
263,Caernarfon,GB,53.1413,-4.2702,64.2,77,90,16.11,overcast clouds
264,Orsha,BY,54.5153,30.4053,77.22,45,100,4.7,overcast clouds
265,San Patricio,US,28.017,-97.5169,87.89,73,0,12.15,clear sky
266,Turukhansk,RU,65.8167,87.9833,67.12,55,18,6.46,few clouds
267,Yumen,CN,40.2833,97.2,80.47,15,5,5.28,clear sky
268,Charleston,US,32.7766,-79.9309,86.09,82,1,3.0,clear sky
269,Takoradi,GH,4.8845,-1.7554,81.39,70,94,14.81,overcast clouds
270,Ilulissat,GL,69.2167,-51.1,44.62,87,75,16.11,broken clouds
271,Aranos,NA,-24.1333,19.1167,83.3,10,0,13.65,clear sky
272,Luau,AO,-10.7073,22.2247,91.98,10,85,0.69,overcast clouds
273,Kelcyre,AL,40.3131,20.1894,100.51,15,0,11.12,clear sky
274,Viedma,AR,-40.8135,-62.9967,52.9,50,93,11.54,overcast clouds
275,Muzhi,RU,65.3667,64.6667,62.44,69,100,15.23,overcast clouds
276,Susa,TN,35.8254,10.637,104.52,70,0,13.8,clear sky
277,Port Keats,AU,-14.25,129.55,68.07,31,1,7.9,clear sky
278,Pemba,MZ,-12.974,40.5178,77.7,69,75,17.27,broken clouds
279,Fairbanks,US,64.8378,-147.7164,56.61,92,75,4.61,light rain
280,Srednekolymsk,RU,67.45,153.6833,51.49,75,4,4.18,clear sky
281,Coihueco,CL,-36.6167,-71.8333,39.94,87,40,8.05,scattered clouds
282,Kloulklubed,PW,7.0419,134.2556,75.7,80,100,22.08,light rain
283,Kathu,TH,7.9178,98.3332,82.22,80,68,9.62,broken clouds
284,Bayan,CN,46.0833,127.4,62.08,71,0,14.23,clear sky
285,Biltine,TD,14.5333,20.9167,88.79,46,64,9.17,broken clouds
286,Villazon,BO,-22.0866,-65.5942,51.3,12,2,3.11,clear sky
287,Hay River,CA,60.8156,-115.7999,49.98,76,75,4.61,broken clouds
288,Cap Malheureux,MU,-19.9842,57.6142,70.47,87,81,3.0,moderate rain
289,Fenelon Falls,CA,44.5334,-78.7496,74.57,76,70,6.64,broken clouds
290,Katsuura,JP,35.1333,140.3,82.51,90,100,15.01,overcast clouds
291,Naze,JP,28.3667,129.4833,78.78,86,82,19.15,broken clouds
292,Vestmannaeyjar,IS,63.4427,-20.2734,61.79,72,0,13.8,clear sky
293,Calera,US,33.1029,-86.7536,81.41,87,1,0.0,clear sky
294,Talaya,RU,61.3833,152.75,50.54,84,100,5.77,overcast clouds
295,Lamu,KE,-2.2717,40.902,79.02,74,60,15.39,broken clouds
296,Meadow Lake,US,34.8014,-106.5436,74.73,25,0,5.41,clear sky
297,Santa Rosa,PH,14.3122,121.1114,84.11,86,79,6.38,broken clouds
298,La Ronge,CA,55.1001,-105.2842,57.45,88,90,9.22,overcast clouds
299,Kruisfontein,ZA,-34.0033,24.7314,66.69,47,97,18.39,overcast clouds
300,Chapais,CA,49.7834,-74.8492,62.38,42,2,5.99,clear sky
301,Torbay,CA,47.6666,-52.7314,72.88,89,75,18.41,broken clouds
302,Ponta Delgada,PT,37.7333,-25.6667,72.32,73,75,17.27,broken clouds
303,Olinda,BR,-8.0089,-34.8553,82.13,61,20,16.11,few clouds
304,Esperance,AU,-33.8667,121.9,59.56,79,0,13.18,clear sky
305,Los Llanos De Aridane,ES,28.6585,-17.9182,73.15,90,75,6.91,broken clouds
306,Altay,CN,47.8667,88.1167,66.51,35,44,4.65,scattered clouds
307,Tsabong,BW,-26.0217,22.401,83.48,10,0,15.64,clear sky
308,Santa Maria,BR,-29.6842,-53.8069,76.3,57,0,5.75,clear sky
309,Caravelas,BR,-17.7125,-39.2481,75.97,59,18,11.79,few clouds
310,Hamilton,US,39.1834,-84.5333,81.99,76,1,1.99,clear sky
311,Wilmington,US,34.2257,-77.9447,82.94,84,1,6.91,clear sky
312,Saint-Francois,FR,46.4154,3.9054,73.42,59,0,8.05,clear sky
313,Rawson,AR,-43.3002,-65.1023,47.79,48,0,9.71,clear sky
314,Inirida,CO,3.8653,-67.9239,76.96,88,96,2.57,overcast clouds
315,Visby,SE,57.6409,18.296,71.06,73,40,8.05,scattered clouds
316,Bure,ET,10.7,37.0667,63.09,90,100,1.81,moderate rain
317,Haines Junction,CA,60.7522,-137.5108,40.95,100,100,1.14,overcast clouds
318,Tuatapere,NZ,-46.1333,167.6833,32.83,89,99,2.75,light snow
319,Kindu,CD,-2.95,25.95,91.72,31,83,0.89,broken clouds
320,Aykhal,RU,66.0,111.5,50.23,86,73,3.18,broken clouds
321,Sinop,TR,41.7711,34.8709,72.03,82,100,7.72,overcast clouds
322,Berlevag,NO,70.8578,29.0864,63.82,55,7,11.56,clear sky
323,Miracema Do Tocantins,BR,-9.5618,-48.3967,87.6,31,4,12.41,clear sky
324,Aanekoski,FI,62.6946,25.818,70.68,75,100,8.81,overcast clouds
325,Antofagasta,CL,-23.65,-70.4,58.28,69,81,9.4,broken clouds
326,Mehamn,NO,71.0357,27.8492,67.77,48,10,13.2,clear sky
327,Kirov,RU,58.5966,49.6601,72.93,49,57,4.29,broken clouds
328,Leningradskiy,RU,69.3833,178.4167,35.22,85,24,14.32,few clouds
329,Aksarka,RU,66.5606,67.7975,61.3,64,100,14.72,overcast clouds
330,Anloga,GH,5.7947,0.8973,82.62,79,93,18.43,light rain
